stop_loss,take_profit,pullback_buffer,retest_buffer,trade_end_time,neutral_filter,total_trades,wins,losses,win_rate,avg_win_points,avg_loss_points,avg_pnl_points,expectancy_points,total_pnl_points,max_losing_streak,profit_factor,score
30,100,10,10,13:30,True,7,2,5,28.57,100.0,-30.0,7.14,7.14,50.0,4,1.333,-20.0
30,100,10,20,13:30,True,7,2,5,28.57,100.0,-30.0,7.14,7.14,50.0,4,1.333,-20.0
30,100,10,30,13:30,True,7,2,5,28.57,100.0,-30.0,7.14,7.14,50.0,4,1.333,-20.0
30,100,10,40,13:30,True,7,2,5,28.57,100.0,-30.0,7.14,7.14,50.0,4,1.333,-20.0
30,100,20,10,13:30,True,7,2,5,28.57,100.0,-30.0,7.14,7.14,50.0,4,1.333,-20.0
30,100,20,20,13:30,True,7,2,5,28.57,100.0,-30.0,7.14,7.14,50.0,4,1.333,-20.0
30,100,20,30,13:30,True,7,2,5,28.57,100.0,-30.0,7.14,7.14,50.0,4,1.333,-20.0
30,100,20,40,13:30,True,7,2,5,28.57,100.0,-30.0,7.14,7.14,50.0,4,1.333,-20.0
30,100,30,10,13:30,True,7,2,5,28.57,100.0,-30.0,7.14,7.14,50.0,4,1.333,-20.0
30,100,30,20,13:30,True,7,2,5,28.57,100.0,-30.0,7.14,7.14,50.0,4,1.333,-20.0
30,100,30,30,13:30,True,7,2,5,28.57,100.0,-30.0,7.14,7.14,50.0,4,1.333,-20.0
30,100,30,40,13:30,True,7,2,5,28.57,100.0,-30.0,7.14,7.14,50.0,4,1.333,-20.0
30,80,10,10,13:30,True,7,2,5,28.57,80.0,-30.0,1.43,1.43,10.0,4,1.067,-60.0
30,80,10,20,13:30,True,7,2,5,28.57,80.0,-30.0,1.43,1.43,10.0,4,1.067,-60.0
30,80,10,30,13:30,True,7,2,5,28.57,80.0,-30.0,1.43,1.43,10.0,4,1.067,-60.0
30,80,10,40,13:30,True,7,2,5,28.57,80.0,-30.0,1.43,1.43,10.0,4,1.067,-60.0
30,80,20,10,13:30,True,7,2,5,28.57,80.0,-30.0,1.43,1.43,10.0,4,1.067,-60.0
30,80,20,20,13:30,True,7,2,5,28.57,80.0,-30.0,1.43,1.43,10.0,4,1.067,-60.0
30,80,20,30,13:30,True,7,2,5,28.57,80.0,-30.0,1.43,1.43,10.0,4,1.067,-60.0
30,80,20,40,13:30,True,7,2,5,28.57,80.0,-30.0,1.43,1.43,10.0,4,1.067,-60.0
30,80,30,10,13:30,True,7,2,5,28.57,80.0,-30.0,1.43,1.43,10.0,4,1.067,-60.0
30,80,30,20,13:30,True,7,2,5,28.57,80.0,-30.0,1.43,1.43,10.0,4,1.067,-60.0
30,80,30,30,13:30,True,7,2,5,28.57,80.0,-30.0,1.43,1.43,10.0,4,1.067,-60.0
30,80,30,40,13:30,True,7,2,5,28.57,80.0,-30.0,1.43,1.43,10.0,4,1.067,-60.0
40,100,10,10,13:30,True,7,2,5,28.57,100.0,-40.0,0.0,0.0,0.0,4,1.0,-70.0
40,100,10,20,13:30,True,7,2,5,28.57,100.0,-40.0,0.0,0.0,0.0,4,1.0,-70.0
40,100,10,30,13:30,True,7,2,5,28.57,100.0,-40.0,0.0,0.0,0.0,4,1.0,-70.0
40,100,10,40,13:30,True,7,2,5,28.57,100.0,-40.0,0.0,0.0,0.0,4,1.0,-70.0
40,100,20,10,13:30,True,7,2,5,28.57,100.0,-40.0,0.0,0.0,0.0,4,1.0,-70.0
40,100,20,20,13:30,True,7,2,5,28.57,100.0,-40.0,0.0,0.0,0.0,4,1.0,-70.0
40,100,20,30,13:30,True,7,2,5,28.57,100.0,-40.0,0.0,0.0,0.0,4,1.0,-70.0
40,100,20,40,13:30,True,7,2,5,28.57,100.0,-40.0,0.0,0.0,0.0,4,1.0,-70.0
40,100,30,10,13:30,True,7,2,5,28.57,100.0,-40.0,0.0,0.0,0.0,4,1.0,-70.0
40,100,30,20,13:30,True,7,2,5,28.57,100.0,-40.0,0.0,0.0,0.0,4,1.0,-70.0
40,100,30,30,13:30,True,7,2,5,28.57,100.0,-40.0,0.0,0.0,0.0,4,1.0,-70.0
40,100,30,40,13:30,True,7,2,5,28.57,100.0,-40.0,0.0,0.0,0.0,4,1.0,-70.0
30,100,10,10,13:30,False,10,2,8,20.0,100.0,-30.0,-4.0,-4.0,-40.0,4,0.833,-80.0
30,100,10,20,13:30,False,10,2,8,20.0,100.0,-30.0,-4.0,-4.0,-40.0,4,0.833,-80.0
30,100,10,30,13:30,False,10,2,8,20.0,100.0,-30.0,-4.0,-4.0,-40.0,4,0.833,-80.0
30,100,10,40,13:30,False,10,2,8,20.0,100.0,-30.0,-4.0,-4.0,-40.0,4,0.833,-80.0
30,100,20,10,13:30,False,10,2,8,20.0,100.0,-30.0,-4.0,-4.0,-40.0,4,0.833,-80.0
30,100,20,20,13:30,False,10,2,8,20.0,100.0,-30.0,-4.0,-4.0,-40.0,4,0.833,-80.0
30,100,20,30,13:30,False,10,2,8,20.0,100.0,-30.0,-4.0,-4.0,-40.0,4,0.833,-80.0
30,100,20,40,13:30,False,10,2,8,20.0,100.0,-30.0,-4.0,-4.0,-40.0,4,0.833,-80.0
30,100,30,10,13:30,False,10,2,8,20.0,100.0,-30.0,-4.0,-4.0,-40.0,4,0.833,-80.0
30,100,30,20,13:30,False,10,2,8,20.0,100.0,-30.0,-4.0,-4.0,-40.0,4,0.833,-80.0
30,100,30,30,13:30,False,10,2,8,20.0,100.0,-30.0,-4.0,-4.0,-40.0,4,0.833,-80.0
30,100,30,40,13:30,False,10,2,8,20.0,100.0,-30.0,-4.0,-4.0,-40.0,4,0.833,-80.0
30,60,10,10,13:30,True,7,2,5,28.57,60.0,-30.0,-4.29,-4.29,-30.0,4,0.8,-100.0
30,60,10,20,13:30,True,7,2,5,28.57,60.0,-30.0,-4.29,-4.29,-30.0,4,0.8,-100.0
30,60,10,30,13:30,True,7,2,5,28.57,60.0,-30.0,-4.29,-4.29,-30.0,4,0.8,-100.0
30,60,10,40,13:30,True,7,2,5,28.57,60.0,-30.0,-4.29,-4.29,-30.0,4,0.8,-100.0
30,60,20,10,13:30,True,7,2,5,28.57,60.0,-30.0,-4.29,-4.29,-30.0,4,0.8,-100.0
30,60,20,20,13:30,True,7,2,5,28.57,60.0,-30.0,-4.29,-4.29,-30.0,4,0.8,-100.0
30,60,20,30,13:30,True,7,2,5,28.57,60.0,-30.0,-4.29,-4.29,-30.0,4,0.8,-100.0
30,60,20,40,13:30,True,7,2,5,28.57,60.0,-30.0,-4.29,-4.29,-30.0,4,0.8,-100.0
30,60,30,10,13:30,True,7,2,5,28.57,60.0,-30.0,-4.29,-4.29,-30.0,4,0.8,-100.0
30,60,30,20,13:30,True,7,2,5,28.57,60.0,-30.0,-4.29,-4.29,-30.0,4,0.8,-100.0
30,60,30,30,13:30,True,7,2,5,28.57,60.0,-30.0,-4.29,-4.29,-30.0,4,0.8,-100.0
30,60,30,40,13:30,True,7,2,5,28.57,60.0,-30.0,-4.29,-4.29,-30.0,4,0.8,-100.0
40,80,10,10,13:30,True,7,2,5,28.57,80.0,-40.0,-5.71,-5.71,-40.0,4,0.8,-110.0
40,80,10,20,13:30,True,7,2,5,28.57,80.0,-40.0,-5.71,-5.71,-40.0,4,0.8,-110.0
40,80,10,30,13:30,True,7,2,5,28.57,80.0,-40.0,-5.71,-5.71,-40.0,4,0.8,-110.0
40,80,10,40,13:30,True,7,2,5,28.57,80.0,-40.0,-5.71,-5.71,-40.0,4,0.8,-110.0
40,80,20,10,13:30,True,7,2,5,28.57,80.0,-40.0,-5.71,-5.71,-40.0,4,0.8,-110.0
40,80,20,20,13:30,True,7,2,5,28.57,80.0,-40.0,-5.71,-5.71,-40.0,4,0.8,-110.0
40,80,20,30,13:30,True,7,2,5,28.57,80.0,-40.0,-5.71,-5.71,-40.0,4,0.8,-110.0
40,80,20,40,13:30,True,7,2,5,28.57,80.0,-40.0,-5.71,-5.71,-40.0,4,0.8,-110.0
40,80,30,10,13:30,True,7,2,5,28.57,80.0,-40.0,-5.71,-5.71,-40.0,4,0.8,-110.0
40,80,30,20,13:30,True,7,2,5,28.57,80.0,-40.0,-5.71,-5.71,-40.0,4,0.8,-110.0
40,80,30,30,13:30,True,7,2,5,28.57,80.0,-40.0,-5.71,-5.71,-40.0,4,0.8,-110.0
40,80,30,40,13:30,True,7,2,5,28.57,80.0,-40.0,-5.71,-5.71,-40.0,4,0.8,-110.0
50,100,10,10,13:30,True,7,2,5,28.57,100.0,-50.0,-7.14,-7.14,-50.0,4,0.8,-120.0
50,100,10,20,13:30,True,7,2,5,28.57,100.0,-50.0,-7.14,-7.14,-50.0,4,0.8,-120.0
50,100,10,30,13:30,True,7,2,5,28.57,100.0,-50.0,-7.14,-7.14,-50.0,4,0.8,-120.0
50,100,10,40,13:30,True,7,2,5,28.57,100.0,-50.0,-7.14,-7.14,-50.0,4,0.8,-120.0
50,100,20,10,13:30,True,7,2,5,28.57,100.0,-50.0,-7.14,-7.14,-50.0,4,0.8,-120.0
50,100,20,20,13:30,True,7,2,5,28.57,100.0,-50.0,-7.14,-7.14,-50.0,4,0.8,-120.0
50,100,20,30,13:30,True,7,2,5,28.57,100.0,-50.0,-7.14,-7.14,-50.0,4,0.8,-120.0
50,100,20,40,13:30,True,7,2,5,28.57,100.0,-50.0,-7.14,-7.14,-50.0,4,0.8,-120.0
50,100,30,10,13:30,True,7,2,5,28.57,100.0,-50.0,-7.14,-7.14,-50.0,4,0.8,-120.0
50,100,30,20,13:30,True,7,2,5,28.57,100.0,-50.0,-7.14,-7.14,-50.0,4,0.8,-120.0
50,100,30,30,13:30,True,7,2,5,28.57,100.0,-50.0,-7.14,-7.14,-50.0,4,0.8,-120.0
50,100,30,40,13:30,True,7,2,5,28.57,100.0,-50.0,-7.14,-7.14,-50.0,4,0.8,-120.0
30,80,10,10,13:30,False,10,2,8,20.0,80.0,-30.0,-8.0,-8.0,-80.0,4,0.667,-120.0
30,80,10,20,13:30,False,10,2,8,20.0,80.0,-30.0,-8.0,-8.0,-80.0,4,0.667,-120.0
30,80,10,30,13:30,False,10,2,8,20.0,80.0,-30.0,-8.0,-8.0,-80.0,4,0.667,-120.0
30,80,10,40,13:30,False,10,2,8,20.0,80.0,-30.0,-8.0,-8.0,-80.0,4,0.667,-120.0
30,80,20,10,13:30,False,10,2,8,20.0,80.0,-30.0,-8.0,-8.0,-80.0,4,0.667,-120.0
30,80,20,20,13:30,False,10,2,8,20.0,80.0,-30.0,-8.0,-8.0,-80.0,4,0.667,-120.0
30,80,20,30,13:30,False,10,2,8,20.0,80.0,-30.0,-8.0,-8.0,-80.0,4,0.667,-120.0
30,80,20,40,13:30,False,10,2,8,20.0,80.0,-30.0,-8.0,-8.0,-80.0,4,0.667,-120.0
30,80,30,10,13:30,False,10,2,8,20.0,80.0,-30.0,-8.0,-8.0,-80.0,4,0.667,-120.0
30,80,30,20,13:30,False,10,2,8,20.0,80.0,-30.0,-8.0,-8.0,-80.0,4,0.667,-120.0
30,80,30,30,13:30,False,10,2,8,20.0,80.0,-30.0,-8.0,-8.0,-80.0,4,0.667,-120.0
30,80,30,40,13:30,False,10,2,8,20.0,80.0,-30.0,-8.0,-8.0,-80.0,4,0.667,-120.0
30,100,0,10,13:30,True,6,1,5,16.67,100.0,-30.0,-8.33,-8.33,-50.0,4,0.667,-120.0
30,100,0,20,13:30,True,6,1,5,16.67,100.0,-30.0,-8.33,-8.33,-50.0,4,0.667,-120.0
30,100,0,30,13:30,True,6,1,5,16.67,100.0,-30.0,-8.33,-8.33,-50.0,4,0.667,-120.0
30,100,0,40,13:30,True,6,1,5,16.67,100.0,-30.0,-8.33,-8.33,-50.0,4,0.667,-120.0
40,150,10,10,13:30,True,6,1,5,16.67,150.0,-40.0,-8.33,-8.33,-50.0,5,0.75,-125.0
40,150,10,20,13:30,True,6,1,5,16.67,150.0,-40.0,-8.33,-8.33,-50.0,5,0.75,-125.0
