trade_date,signal,direction,entry_time,entry_price,exit_time,exit_price,exit_reason,pnl_points,max_favorable_points,max_adverse_points,stop_loss_points,take_profit_points,max_holding_minutes,flip,pivot,r1,s1
2026-05-04,FLIP_RECOVER,LONG,2026-05-04 12:50:00,41068.0,2026-05-04 12:55:00,41028.0,STOP_LOSS,-40.0,9.0,101.0,40,80,60,41031.0,40757.3,41347.7,40440.7
2026-05-04,FLIP_BREAK,SHORT,2026-05-04 12:55:00,40995.0,2026-05-04 13:00:00,41035.0,STOP_LOSS,-40.0,31.0,74.0,40,80,60,41031.0,40757.3,41347.7,40440.7
2026-05-04,FLIP_RECOVER,LONG,2026-05-04 13:40:00,41126.0,2026-05-04 15:00:00,41086.0,STOP_LOSS,-40.0,0.0,231.0,40,80,60,41031.0,40757.3,41347.7,40440.7
2026-05-04,FLIP_BREAK,SHORT,2026-05-04 15:00:00,40970.0,2026-05-04 15:05:00,41010.0,STOP_LOSS,-40.0,2.0,151.0,40,80,60,41031.0,40757.3,41347.7,40440.7
2026-05-04,FLIP_RECOVER,LONG,2026-05-04 15:05:00,41034.0,2026-05-04 15:10:00,41114.0,TAKE_PROFIT,80.0,107.0,14.0,40,80,60,41031.0,40757.3,41347.7,40440.7
2026-05-04,FLIP_BREAK,SHORT,2026-05-04 18:00:00,40810.0,2026-05-04 18:05:00,40850.0,STOP_LOSS,-40.0,214.0,81.0,40,80,60,41031.0,40757.3,41347.7,40440.7
2026-05-04,FLIP_RECOVER,LONG,2026-05-04 21:05:00,41053.0,2026-05-04 21:10:00,41013.0,STOP_LOSS,-40.0,24.0,165.0,40,80,60,41031.0,40757.3,41347.7,40440.7
2026-05-04,FLIP_BREAK,SHORT,2026-05-04 21:10:00,40893.0,2026-05-04 21:30:00,40933.0,STOP_LOSS,-40.0,32.0,868.0,40,80,60,41031.0,40757.3,41347.7,40440.7
2026-05-04,FLIP_RECOVER,LONG,2026-05-04 22:10:00,41045.0,2026-05-04 22:15:00,41125.0,TAKE_PROFIT,80.0,99.0,31.0,40,80,60,41031.0,40757.3,41347.7,40440.7
2026-05-04,FLIP_BREAK,SHORT,2026-05-04 22:25:00,40994.0,2026-05-04 22:30:00,41034.0,STOP_LOSS,-40.0,18.0,108.0,40,80,60,41031.0,40757.3,41347.7,40440.7
2026-05-05,FLIP_RECOVER,LONG,2026-05-05 01:15:00,40826.0,2026-05-05 01:25:00,40906.0,TAKE_PROFIT,80.0,84.0,19.0,40,80,60,40788.0,40838.0,41135.0,40491.0
