recommend_date,stock_id,stock_name,grade,grade_reason,entry_mode,entry_reason,entry_wait_days,entry_date,entry_price,exit_date,exit_price,exit_reason,holding_days,trade_return_pct,max_gain_pct,max_drawdown_pct,max_gain_1d_pct,max_gain_3d_pct,max_gain_5d_pct,hit_1d_2pct,hit_3d_3pct,hit_5d_5pct,stop_loss_pct,take_profit_pct,max_entry_wait_days,max_holding_days,total_score,chip_score,trend_score,volume_score,market_score,signal_open,signal_high,signal_low,signal_close,signal_ma5,signal_ma10,signal_ma20,signal_volume_ratio,signal_distance_to_ma5,signal_distance_to_ma10,signal_upper_shadow_ratio,signal_body_ratio,trust_net_buy,foreign_net_buy,consecutive_trust_buy_days,market_mode,market_label,observation_zone,invalid,command,pullback_zone_low,pullback_zone_high,break_price
2026-05-05,3033,,A,A級：籌碼與技術同步，優先觀察,OPEN_NEXT_DAY,推薦日隔一交易日開盤進場,1,2026-05-06,40.8,2026-05-07,43.25,TAKE_PROFIT,2,6.0,11.52,-0.86,3.92,11.03,11.52,True,True,True,-3.0,6.0,5,5,83.5,85,100,90,40,43.35,46.75,43.3,46.4,44.33,41.91,38.49,1.96,4.67,10.7,0.1,0.88,534049,2801000,1,NEUTRAL,🟡 大盤不可交易 / 觀察,44.33 ～ 41.91,跌破 10MA 41.91,可列優先觀察；只等回測不破，不追高。,,,
2026-05-05,3033,,A,A級：籌碼與技術同步，優先觀察,PULLBACK_MA,回測 MA 區間不破：41.91 ~ 44.33,1,2026-05-06,44.33,2026-05-06,43.0,STOP_LOSS,1,-3.0,2.64,-8.75,-4.35,2.19,2.64,False,False,False,-3.0,6.0,5,5,83.5,85,100,90,40,43.35,46.75,43.3,46.4,44.33,41.91,38.49,1.96,4.67,10.7,0.1,0.88,534049,2801000,1,NEUTRAL,🟡 大盤不可交易 / 觀察,44.33 ～ 41.91,跌破 10MA 41.91,可列優先觀察；只等回測不破，不追高。,41.91,44.33,
2026-05-05,2330,,B,B級：條件尚可，但需等待確認,OPEN_NEXT_DAY,推薦日隔一交易日開盤進場,1,2026-05-06,2250.0,2026-05-12,2255.0,TIME_EXIT,5,0.22,4.22,-1.78,1.56,4.22,4.22,False,True,False,-3.0,6.0,5,5,69.8,60,100,65,40,2250.0,2270.0,2230.0,2270.0,2254.0,2249.0,2182.75,0.89,0.71,0.93,0.0,0.5,1495677,0,1,NEUTRAL,🟡 大盤不可交易 / 觀察,2254.0 ～ 2249.0,跌破 10MA 2249.0,只觀察，不主動追價；等量價確認。,,,
2026-05-05,2330,,B,B級：條件尚可，但需等待確認,PULLBACK_MA,回測 MA 區間不破：2249.0 ~ 2254.0,1,2026-05-06,2254.0,2026-05-12,2255.0,TIME_EXIT,5,0.04,4.04,-1.95,1.38,4.04,4.04,False,True,False,-3.0,6.0,5,5,69.8,60,100,65,40,2250.0,2270.0,2230.0,2270.0,2254.0,2249.0,2182.75,0.89,0.71,0.93,0.0,0.5,1495677,0,1,NEUTRAL,🟡 大盤不可交易 / 觀察,2254.0 ～ 2249.0,跌破 10MA 2249.0,只觀察，不主動追價；等量價確認。,2249.0,2254.0,
2026-05-05,2330,,B,B級：條件尚可，但需等待確認,BREAK_PREV_HIGH,突破推薦日高點：2270.0,1,2026-05-06,2270.0,2026-05-12,2255.0,TIME_EXIT,5,-0.66,3.3,-2.64,0.66,3.3,3.3,False,True,False,-3.0,6.0,5,5,69.8,60,100,65,40,2250.0,2270.0,2230.0,2270.0,2254.0,2249.0,2182.75,0.89,0.71,0.93,0.0,0.5,1495677,0,1,NEUTRAL,🟡 大盤不可交易 / 觀察,2254.0 ～ 2249.0,跌破 10MA 2249.0,只觀察，不主動追價；等量價確認。,,,2270.0
2026-05-05,2303,,B,漲幅偏離 5MA 過遠，只觀察不追,OPEN_NEXT_DAY,推薦日隔一交易日開盤進場,1,2026-05-06,88.5,2026-05-07,93.81,TAKE_PROFIT,2,6.0,18.08,-0.79,3.28,11.64,18.08,True,True,True,-3.0,6.0,5,5,66.0,60,75,90,40,102.0,108.0,98.8,108.0,99.44,92.67,83.51,1.25,8.61,16.54,0.0,0.65,7814580,0,1,NEUTRAL,🟡 大盤不可交易 / 觀察,99.44 ～ 92.67,跌破 10MA 92.67,只觀察，不主動追價；等量價確認。,,,
2026-05-05,2303,,B,漲幅偏離 5MA 過遠，只觀察不追,PULLBACK_MA,回測 MA 區間不破：92.67 ~ 99.44,2,2026-05-07,99.44,2026-05-07,96.46,STOP_LOSS,1,-3.0,5.09,-9.59,-0.64,-0.64,5.09,False,False,True,-3.0,6.0,5,5,66.0,60,75,90,40,102.0,108.0,98.8,108.0,99.44,92.67,83.51,1.25,8.61,16.54,0.0,0.65,7814580,0,1,NEUTRAL,🟡 大盤不可交易 / 觀察,99.44 ～ 92.67,跌破 10MA 92.67,只觀察，不主動追價；等量價確認。,92.67,99.44,
2026-05-05,2344,,B,漲幅偏離 5MA 過遠，只觀察不追,OPEN_NEXT_DAY,推薦日隔一交易日開盤進場,1,2026-05-06,108.5,2026-05-06,105.24,STOP_LOSS,1,-3.0,13.82,-4.61,0.0,7.83,13.82,False,True,True,-3.0,6.0,5,5,66.0,60,75,90,40,127.0,134.0,124.5,134.0,120.4,110.85,100.57,2.16,11.3,20.88,0.0,0.74,1990849,0,1,NEUTRAL,🟡 大盤不可交易 / 觀察,120.4 ～ 110.85,跌破 10MA 110.85,只觀察，不主動追價；等量價確認。,,,
2026-05-05,2344,,B,漲幅偏離 5MA 過遠，只觀察不追,PULLBACK_MA,回測 MA 區間不破：110.85 ~ 120.4,2,2026-05-07,120.4,2026-05-07,116.79,STOP_LOSS,1,-3.0,2.57,-14.04,-2.82,-2.41,2.57,False,False,False,-3.0,6.0,5,5,66.0,60,75,90,40,127.0,134.0,124.5,134.0,120.4,110.85,100.57,2.16,11.3,20.88,0.0,0.74,1990849,0,1,NEUTRAL,🟡 大盤不可交易 / 觀察,120.4 ～ 110.85,跌破 10MA 110.85,只觀察，不主動追價；等量價確認。,110.85,120.4,
2026-05-05,3264,,B,B級：條件尚可，但需等待確認,OPEN_NEXT_DAY,推薦日隔一交易日開盤進場,1,2026-05-06,244.0,2026-05-06,236.68,STOP_LOSS,1,-3.0,2.05,-11.27,2.05,2.05,2.05,True,False,False,-3.0,6.0,5,5,63.0,60,90,40,40,234.0,237.0,227.0,229.0,227.4,225.65,210.32,0.61,0.7,1.48,0.3,0.5,2089654,-1131030,1,NEUTRAL,🟡 大盤不可交易 / 觀察,227.4 ～ 225.65,跌破 10MA 225.65,只觀察，不主動追價；等量價確認。,,,
2026-05-05,3264,,B,B級：條件尚可，但需等待確認,PULLBACK_MA,回測 MA 區間不破：225.65 ~ 227.4,1,2026-05-06,227.4,2026-05-06,220.58,STOP_LOSS,1,-3.0,9.5,-4.79,9.5,9.5,9.5,True,True,True,-3.0,6.0,5,5,63.0,60,90,40,40,234.0,237.0,227.0,229.0,227.4,225.65,210.32,0.61,0.7,1.48,0.3,0.5,2089654,-1131030,1,NEUTRAL,🟡 大盤不可交易 / 觀察,227.4 ～ 225.65,跌破 10MA 225.65,只觀察，不主動追價；等量價確認。,225.65,227.4,
